unit table cands ['0x23d84'] colony cands ['0x26986']
u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=31 VC=100 IS=205 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 16]
n=66 t=92 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=72 t=100 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=78 t=108 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=84 t=116 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=90 t=125 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=96 t=134 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[24, 24, 255, 0, 0, 0] | SD=93 VC=100 IS=251 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=102 t=142 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=108 t=150 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=114 t=158 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=120 t=166 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=126 t=175 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=132 t=184 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=138 t=192 u1 x=254 y=254 ord=2 holds=2 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=31 VC=24 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=144 t=200 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=31 VC=24 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=150 t=208 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=31 VC=24 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=156 t=217 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=31 VC=24 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=162 t=226 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=31 VC=24 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 11, 1, 8, 17]
n=168 t=234 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=62 VC=30 IS=334 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=174 t=242 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=62 VC=30 IS=334 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=180 t=250 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=62 VC=30 IS=334 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=186 t=259 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=62 VC=30 IS=334 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=192 t=267 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=62 VC=30 IS=334 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=198 t=276 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=93 VC=36 IS=295 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=204 t=284 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=93 VC=36 IS=295 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=210 t=292 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=93 VC=36 IS=295 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=216 t=301 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=93 VC=36 IS=295 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=222 t=309 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=93 VC=36 IS=295 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=228 t=318 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[100, 100, 255, 0, 0, 0] | SD=124 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=234 t=326 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=240 t=334 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=246 t=343 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=252 t=351 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=258 t=359 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=42 IS=256 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=264 t=368 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=270 t=376 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=276 t=385 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=282 t=393 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=288 t=401 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=294 t=409 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 72, 255, 0, 0, 0] | SD=31 VC=0 IS=217 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=300 t=418 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=306 t=427 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=312 t=435 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=318 t=443 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=324 t=451 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=330 t=460 u1 x=35 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=62 VC=6 IS=350 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=336 t=468 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=342 t=477 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=348 t=485 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=354 t=493 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=360 t=501 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=366 t=510 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=372 t=518 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[72, 72, 255, 0, 0, 0] | SD=93 VC=12 IS=300 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=378 t=527 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=384 t=535 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=390 t=543 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=396 t=552 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=402 t=560 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=408 t=568 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 24, 255, 0, 0, 0] | SD=0 VC=18 IS=261 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=414 t=577 u1 x=36 y=29 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=420 t=585 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=426 t=594 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=432 t=602 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=438 t=610 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=444 t=619 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=450 t=627 u1 x=39 y=28 ord=2 holds=2 cargo=110000 amt=[100, 48, 255, 0, 0, 0] | SD=31 VC=0 IS=222 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=456 t=636 u1 x=254 y=254 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=462 t=644 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=468 t=652 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=474 t=660 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=480 t=669 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=486 t=677 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=492 t=686 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=498 t=694 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=62 VC=6 IS=331 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=504 t=702 u1 x=35 y=29 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=510 t=710 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=516 t=719 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=522 t=727 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=528 t=736 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=534 t=744 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=540 t=752 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=93 VC=12 IS=292 | Santo Domingo Veracruz Isabella | w84BC[spain]=[2, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 16]
n=546 t=761 u1 x=33 y=28 ord=2 holds=0 cargo=110000 amt=[48, 48, 255, 0, 0, 0] | SD=124 VC=18 IS=253 | Santo Domingo Veracruz Isabella | w84BC[spain]=[2, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 16]
